Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
4.72,1179,-60.7285714285714,61.9142857142857,-19.7571428571429,-0.921450497142857,-0.457157211428572,-0.0296598342857147,6298,1.02904977548019
4.76,1181,-142.728571428571,-1.08571428571429,1.24285714285713,-0.977457188571429,-0.457583245714286,-0.0291721371428575,6298,1.07965549868181
4.8,1180,-107.728571428571,-17.0857142857143,42.2428571428571,-1.01972988,-0.46428768,-0.0125960400000004,6298,1.12052252908555
4.84,1180,-176.728571428571,81.9142857142857,-46.7571428571429,-1.08907817142857,-0.432144514285714,-0.0309435428571433,6298,1.17209114302344
4.88,1168,-176.728571428571,62.9142857142857,-58.7571428571429,-1.15842646285714,-0.407456948571429,-0.0539998457142861,6298,1.2291822558612
4.92,1168,-118.728571428571,30.9142857142857,69.2428571428571,-1.20501555428571,-0.395326182857143,-0.026828948571429,6298,1.2684892862789
4.96,1169,-148.728571428571,-61.0857142857143,39.2428571428571,-1.26337664571429,-0.419296217142857,-0.0114300514285718,6298,1.33118763242537
5,1164,-28.7285714285714,-38.0857142857143,-115.757142857143,-1.27464973714286,-0.434241051428571,-0.0568531542857147,6298,1.34778689869593
5.04,1159,-181.728571428571,81.9142857142857,25.2428571428571,-1.34596002857143,-0.402097885714286,-0.0469478571428576,6298,1.40552310884532
5.08,1152,-29.7285714285714,-13.0857142857143,12.2428571428571,-1.35762552,-0.40723272,-0.0421437600000004,6298,1.41801327120052
5.12,1158,38.2714285714286,-53.0857142857143,-155.757142857143,-1.34260781142857,-0.428063554285714,-0.103262862857143,6298,1.41297464968845
5.16,1141,-104.728571428571,-34.0857142857143,-87.7571428571429,-1.38370330285714,-0.441438788571429,-0.137698765714286,5447,1.45892562677897
5.2,1127,-24.7285714285714,-83.0857142857143,-80.7571428571429,-1.39340679428572,-0.474041622857143,-0.169387868571429,4596,1.48154993320569
5.24,1131,-11.7285714285714,150.914285714286,243.242857142857,-1.39800908571429,-0.414822857142857,-0.0739393714285719,4596,1.46012822628532
5.28,1129,-84.7285714285714,-27.0857142857143,-74.7571428571429,-1.43125657714286,-0.425451291428571,-0.103274074285715,4426,1.49671965491621
5.32,1131,-39.7285714285714,-214.085714285714,42.2428571428571,-1.44684606857143,-0.509458525714286,-0.0866979771428576,4426,1.53636846973772
5.36,1128,-132.728571428571,71.9142857142857,37.2428571428571,-1.49892876,-0.48123936,-0.0720838800000005,4426,1.5759361773004
5.44,1120,-91.7285714285714,-21.0857142857143,24.2428571428571,-1.57091734285714,-0.497787428571429,-0.0530580857142862,4426,1.64875370586172
5.48,1118,20.2714285714286,-44.0857142857143,95.2428571428571,-1.56296283428572,-0.515086662857143,-0.015684788571429,4426,1.6457257074629
5.56,1114,-159.728571428571,194.914285714286,116.242857142857,-1.68831781714286,-0.362117931428573,0.0755426057142843,4426,1.72836718703585
5.6,1117,37.2714285714286,18.9142857142857,11.2428571428571,-1.67369250857143,-0.354695965714287,0.0799543028571415,2894,1.71273130755746
5.64,1114,-42.7285714285714,109.914285714286,-118.757142857143,-1.6904592,-0.311565600000002,0.0333539999999986,2894,1.7192550477704
5.68,1107,-110.728571428571,-2.08571428571429,13.2428571428571,-1.73390909142857,-0.312384034285716,0.0385504971428557,2894,1.76224591446405
5.72,1110,84.2714285714286,-89.0857142857143,143.242857142857,-1.70084098285714,-0.34734126857143,0.0947589942857129,2383,1.73852962954829
5.76,1112,-7.72857142857143,-157.085714285714,-228.757142857143,-1.70387367428571,-0.408981702857145,0.00499469142856997,2213,1.75227751173674
5.8,1113,24.2714285714286,-7.08571428571429,27.2428571428571,-1.69434956571429,-0.411762137142859,0.0156847885714271,2213,1.74373579449789
5.84,1107,-5.72857142857143,104.914285714286,-65.7571428571429,-1.69659745714286,-0.370593771428573,-0.0101183142857158,2213,1.73663037382433
